RWZI_NUMBER,RWZI_NAME,bouwjaar,type,biocap,hydrcap,ontvwater,laatste_aanpassing,biocapgr136
349,RWZI - Smilde,1973,BCFS reactor,13.560 i.e. &agrave; 136 gr. TZV / dag,,Molenwijk,2006,13560
340,RWZI - Sneek,1975,Carrousel,73.000 i.e. &agrave; 136 gr. TZV / dag,,,,73000
140,RWZI - Soerendonk,,Actiefslib,47.647 i.e. &agrave; 136 gr. TZV / dag,,Buulder Aa,,47647
279,RWZI - Soest,1973,Actiefslib,143.000 i.e. &agrave; 136 gr. TZV / dag,,,1997,143000
19,RWZI - Spijkenisse,1993,Ultralaagbelaste actief-slibinstallatie,112.500 i.e. &agrave; 136 gr. TZV / dag,,Oude Maas,,112500
159,RWZI - Stadskanaal,,,,,Alteveerkanaal,2005,
201,RWZI - Steenwijk,1976,BCFS,60.000 i.e. &agrave; 136 gr. TZV / dag,,Steenwijk - Ossenzijl,1997,60000
194,RWZI - Stein,1984,Actiefslib,39.900 i.e. &agrave; 136 gr. TZV / dag,,,,39900
35,RWZI - Stolpen,1980,,63.000 i.e. &agrave; 136 gr. TZV / dag,,Noord-Hollands Kanaal,2008,63000
94,RWZI - Stolwijk,1996,Schreiber,11.900 i.e. &agrave; 136 gr. TZV / dag,,,,11900
81,RWZI - Stompwijk,1990,Ultra laagbelaste actief-slibinstallatie (Continue oxidatiesloot),3.100 i.e. &agrave; 136 gr. TZV / dag,,,,3100
20,RWZI - Strijen,1973,Ultralaagbelaste actief-slibinstallatie,18.750 i.e. &agrave; 136 gr. TZV / dag,,Nieuw Bonaventurapolder,2007,18750
195,RWZI - Susteren,1984,Ultra laag belaste actief-slibinstallatie,322.500 i.e. &agrave; 136 gr. TZV / dag,,,1997,322500
160,RWZI - Ter Apel,,,,,Ruiten AA Kanaal,2005,
313,RWZI - Terneuzen,1991,Actiefslib/MBR,102.600 i.e. &agrave; 136 gr. TZV / dag,,,2010,102600
341,RWZI - Terschelling,1977,"Oxidatietanks, alternerende beluchting ",30.000 i.e. &agrave; 136 gr. TZV / dag,,,,30000
296,RWZI - Terwolde,2003,Oxidatiesloot,40.000 i.e. &agrave; 136 gr. TZV / dag,,IJssel,,40000
302,RWZI - Tholen,1974,"Actiefslib (Carrousel) ",10.000 i.e. &agrave; 136 gr. TZV / dag,,,2004,10000
269,RWZI - Tiel,2005,Actiefslib,132.000 i.e. &agrave; 136 gr. TZV / dag,,Amsterdam-Rijnkanaal,,132000
141,RWZI - Tilburg,,Actiefslib,375.000 i.e. &agrave; 136 gr. TZV / dag,,"De Zandleij ",,375000
317,RWZI - Tollebeek,,Actief-slibinstallatie met FAST dosering en een slibvergisting,145.000 i.e. &agrave; 136 gr. TZV / dag,,Urkervaart,2010,145000
217,RWZI - Tubbergen,1981,2 taps oxidatiebed / carrousel,,,,,
161,RWZI - Tweede ExloÃ«rmond,,,,,Dreefleiding,,
50,RWZI - Uithoorn,1984,Aeratietank,70.000 i.e. &agrave; 136 gr. TZV / dag,,Amstel,2006,70000
173,RWZI - Uithuizen,1969,Oxidatiebed laag belast,9.300 i.e. &agrave; 136 gr. TZV / dag,,Helwerder Maar,,9300
174,RWZI - Uithuizermeeden,1997,Carrousel,11.884 i.e. &agrave; 136 gr. TZV / dag,,Uithuizermeedstermaar,1998,11884
175,RWZI - Ulrum,2002,Carrousel,20.343 i.e. &agrave; 136 gr. TZV / dag,,Hunsingokanaal,,20343
36,RWZI - Ursem,1984,,62.000 i.e. &agrave; 136 gr. TZV / dag,,,2004,62000
351,RWZI - Utrecht,1976,AB,530.000 i.e. &agrave; 136 gr. TZV / dag,,Vecht,1991,530000
